,ID,Name,Age,Nationality,Club,Value,Wage,Preferred Foot,Joined,
19,192119,T. Courtois,26,Belgium,Real Madrid,€53.5M,€240K,Left,"Aug 9, 2018",
20,189511,Sergio Busquets,29,Spain,FC Barcelona,€51.5M,€315K,Right,"Sep 1, 2008",
21,179813,E. Cavani,31,Uruguay,Paris Saint-Germain,€60M,€200K,Right,"Jul 16, 2013",
22,167495,M. Neuer,32,Germany,FC Bayern München,€38M,€130K,Right,"Jul 1, 2011",
23,153079,S. Agüero,30,Argentina,Manchester City,€64.5M,€300K,Right,"Jul 28, 2011",
24,138956,G. Chiellini,33,Italy,Juventus,€27M,€215K,Left,"Jul 1, 2005",
25,231747,K. Mbappé,19,France,Paris Saint-Germain,€81M,€100K,Right,"Jul 1, 2018",
26,209331,M. Salah,26,Egypt,Liverpool,€69.5M,€255K,Left,"Jul 1, 2017",
27,200145,Casemiro,26,Brazil,Real Madrid,€59.5M,€285K,Right,"Jul 11, 2013",
28,198710,J. Rodríguez,26,Colombia,FC Bayern München,€69.5M,€315K,Left,,
29,198219,L. Insigne,27,Italy,Napoli,€62M,€165K,Right,"Jul 1, 2010",
30,197781,Isco,26,Spain,Real Madrid,€73.5M,€315K,Right,"Jul 3, 2013",
31,190460,C. Eriksen,26,Denmark,Tottenham Hotspur,€73.5M,€205K,Right,"Aug 30, 2013",
32,189242,Coutinho,26,Brazil,FC Barcelona,€69.5M,€340K,Right,"Jan 6, 2018",
33,188567,P. Aubameyang,29,Gabon,Arsenal,€59M,€265K,Right,"Jan 31, 2018",
34,178603,M. Hummels,29,Germany,FC Bayern München,€46M,€160K,Right,"Jul 1, 2016",
35,176676,Marcelo,30,Brazil,Real Madrid,€43M,€285K,Left,"Jan 1, 2007",
36,173731,G. Bale,28,Wales,Real Madrid,€60M,€355K,Left,"Sep 2, 2013",
37,167948,H. Lloris,31,France,Tottenham Hotspur,€36M,€150K,Left,"Aug 1, 2012",
38,167664,G. Higuaín,30,Argentina,Milan,€57M,€245K,Right,,
39,164240,Thiago Silva,33,Brazil,Paris Saint-Germain,€24M,€165K,Right,"Jul 1, 2012",
40,162835,S. Handanovič,33,Slovenia,Inter,€30M,€110K,Right,"Jul 1, 2012",
41,1179,G. Buffon,40,Italy,Paris Saint-Germain,€4M,€77K,Right,"Jul 6, 2018",
42,205600,S. Umtiti,24,France,FC Barcelona,€57M,€205K,Left,"Jul 12, 2016",
43,201399,M. Icardi,25,Argentina,Inter,€64.5M,€130K,Right,"Jul 9, 2013",
44,201024,K. Koulibaly,27,Senegal,Napoli,€51M,€115K,Right,"Jul 1, 2014",
45,195864,P. Pogba,25,France,Manchester United,€64M,€210K,Right,"Aug 9, 2016",
46,193041,K. Navas,31,Costa Rica,Real Madrid,€30.5M,€195K,Right,"Aug 3, 2014",
47,192505,R. Lukaku,25,Belgium,Manchester United,€62.5M,€230K,Left,"Jul 10, 2017",
48,192387,C. Immobile,28,Italy,Lazio,€52M,€115K,Right,"Jul 27, 2016",
49,189332,Jordi Alba,29,Spain,FC Barcelona,€38M,€250K,Left,"Jul 1, 2012",
50,175943,D. Mertens,31,Belgium,Napoli,€45M,€135K,Right,"Jul 1, 2013",
51,172871,J. Vertonghen,31,Belgium,Tottenham Hotspur,€34M,€155K,Left,"Jul 1, 2012",
52,171877,M. Hamšík,30,Slovakia,Napoli,€46.5M,€125K,Right,"Jul 1, 2007",
53,168651,I. Rakitić,30,Croatia,FC Barcelona,€46.5M,€260K,Right,"Jul 1, 2014",
54,152729,Piqué,31,Spain,FC Barcelona,€34M,€240K,Right,"Jul 1, 2008",
55,222492,L. Sané,22,Germany,Manchester City,€61M,€195K,Left,"Aug 2, 2016",
56,218667,Bernardo Silva,23,Portugal,Manchester City,€59.5M,€180K,Left,"Jul 1, 2017",
57,210257,Ederson,24,Brazil,Manchester City,€41.5M,€125K,Left,"Jul 1, 2017",
58,208722,S. Mané,26,Senegal,Liverpool,€52M,€195K,Right,"Jul 1, 2016",
59,203376,V. van Dijk,26,Netherlands,Liverpool,€44.5M,€165K,Right,"Jan 1, 2018",
60,202652,R. Sterling,23,England,Manchester City,€56.5M,€195K,Right,"Jul 14, 2015",
61,201942,Roberto Firmino,26,Brazil,Liverpool,€53M,€195K,Right,"Jul 6, 2015",
62,201535,R. Varane,25,France,Real Madrid,€50M,€210K,Right,"Jul 1, 2011",
63,199556,M. Verratti,25,Italy,Paris Saint-Germain,€55M,€135K,Right,"Jul 18, 2012",
64,191043,Alex Sandro,27,Brazil,Juventus,€36.5M,€160K,Left,"Aug 21, 2015",
65,190483,Douglas Costa,27,Brazil,Juventus,€46.5M,€175K,Left,"Jul 1, 2018",
66,189596,T. Müller,28,Germany,FC Bayern München,€45M,€135K,Right,"Aug 10, 2008",
67,189509,Thiago,27,Spain,FC Bayern München,€45.5M,€130K,Right,"Jul 14, 2013",
68,188350,M. Reus,29,Germany,Borussia Dortmund,€43.5M,€100K,Right,"Jul 1, 2012",
69,184432,Azpilicueta,28,Spain,Chelsea,€35M,€175K,Right,"Aug 24, 2012",
70,184344,L. Bonucci,31,Italy,Juventus,€30M,€160K,Right,"Aug 2, 2018",
71,184087,T. Alderweireld,29,Belgium,Tottenham Hotspur,€39M,€150K,Right,"Jul 8, 2015",
72,180206,M. Pjanić,28,Bosnia Herzegovina,Juventus,€44M,€180K,Right,"Jul 1, 2016",
73,177509,M. Benatia,31,Morocco,Juventus,€30M,€160K,Right,"Aug 26, 2014",
74,176635,M. Özil,29,Germany,Arsenal,€43.5M,€190K,Left,"Sep 2, 2013",
75,135507,Fernandinho,33,Brazil,Manchester City,€18M,€185K,Right,"Jul 1, 2013",
76,41,Iniesta,34,Spain,Vissel Kobe,€21.5M,€21K,Right,"Jul 16, 2018",
77,232363,M. Škriniar,23,Slovakia,Inter,€46.5M,€82K,Right,"Jul 7, 2017",
78,223848,S. Milinković-Savić,23,Serbia,Lazio,€50.5M,€73K,Right,"Aug 6, 2015",
79,220834,Marco Asensio,22,Spain,Real Madrid,€54M,€215K,Left,"Jul 1, 2015",
80,216594,N. Fekir,24,France,Olympique Lyonnais,€50M,€92K,Left,"Jul 1, 2013",
81,212831,Alisson,25,Brazil,Liverpool,€36.5M,€115K,Right,"Jul 19, 2018",
82,212622,J. Kimmich,23,Germany,FC Bayern München,€40.5M,€92K,Right,"Jul 1, 2015",
83,208421,Saúl,23,Spain,Atlético Madrid,€50.5M,€77K,Left,"Jul 1, 2013",
84,204485,R. Mahrez,27,Algeria,Manchester City,€40.5M,€205K,Left,"Jul 10, 2018",
85,197445,D. Alaba,26,Austria,FC Bayern München,€38M,€110K,Left,"Feb 10, 2010",
86,193747,Koke,26,Spain,Atlético Madrid,€45M,€88K,Right,"Jan 1, 2011",
87,193301,A. Lacazette,27,France,Arsenal,€45M,€180K,Right,"Jul 5, 2017",
88,192774,K. Manolas,27,Greece,Roma,€37.5M,€96K,Right,"Aug 26, 2014",
89,192366,N. Otamendi,30,Argentina,Manchester City,€28.5M,€170K,Right,"Aug 20, 2015",
90,189513,Parejo,29,Spain,Valencia CF,€37M,€66K,Right,"Jul 1, 2011",
91,187961,Paulinho,29,Brazil,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,,
92,186153,W. Szczęsny,28,Poland,Juventus,€32M,€125K,Right,"Jul 19, 2017",
93,184941,A. Sánchez,29,Chile,Manchester United,€37.5M,€215K,Right,"Jan 22, 2018",
94,184267,Y. Brahimi,28,Algeria,FC Porto,€39M,€28K,Right,"Jul 22, 2014",
95,183907,J. Boateng,29,Germany,FC Bayern München,€30M,€115K,Right,"Jul 14, 2011",
96,181872,A. Vidal,31,Chile,FC Barcelona,€26M,€205K,Right,"Aug 6, 2018",
97,181458,I. Perišić,29,Croatia,Inter,€37.5M,€110K,Right,"Sep 1, 2015",
98,180930,E. Džeko,32,Bosnia Herzegovina,Roma,€30.5M,€115K,Right,"Jul 1, 2015",
99,179846,S. Khedira,31,Germany,Juventus,€33M,€160K,Right,"Jul 1, 2015",
100,179844,Diego Costa,29,Spain,Atlético Madrid,€38.5M,€100K,Right,"Jan 1, 2018",
101,178518,R. Nainggolan,30,Belgium,Inter,€35.5M,€105K,Right,"Jul 1, 2018",
102,171919,Naldo,35,Brazil,FC Schalke 04,€9M,€38K,Right,"Jul 1, 2016",
103,170890,B. Matuidi,31,France,Juventus,€26M,€145K,Left,"Aug 18, 2017",
104,168609,Miranda,33,Brazil,Inter,€15.5M,€96K,Right,"Jul 1, 2017",
105,165153,K. Benzema,30,France,Real Madrid,€37M,€240K,Right,"Jul 9, 2009",
106,164169,Filipe Luís,32,Brazil,Atlético Madrid,€21.5M,€81K,Left,"Jul 28, 2015",
107,139720,V. Kompany,32,Belgium,Manchester City,€22M,€170K,Right,"Aug 22, 2008",
108,120533,Pepe,35,Portugal,Beşiktaş JK,€9M,€57K,Right,"Jul 4, 2017",
109,41236,Z. Ibrahimović,36,Sweden,LA Galaxy,€14M,€15K,Right,"Mar 23, 2018",
110,220793,D. Sánchez,22,Colombia,Tottenham Hotspur,€34M,€105K,Right,"Aug 26, 2017",
111,216460,J. Giménez,23,Uruguay,Atlético Madrid,€34M,€63K,Right,"Jul 1, 2013",
112,212462,Alex Telles,25,Brazil,FC Porto,€32M,€22K,Left,"Jul 13, 2016",
113,212218,A. Laporte,24,France,Manchester City,€34M,€135K,Left,"Jan 30, 2018",
114,212198,Bruno Fernandes,23,Portugal,Sporting CP,€40.5M,€22K,Right,"Jul 1, 2017",
115,212190,N. Süle,22,Germany,FC Bayern München,€36.5M,€84K,Right,"Jul 1, 2017",
116,211300,A. Martial,22,France,Manchester United,€42.5M,€165K,Right,"Sep 1, 2015",
117,211117,D. Alli,22,England,Tottenham Hotspur,€42.5M,€115K,Right,"Feb 2, 2015",
118,209499,Fabinho,24,Brazil,Liverpool,€34M,€120K,Right,"Jul 1, 2018",
119,207865,Marquinhos,24,Brazil,Paris Saint-Germain,€35.5M,€90K,Right,"Jul 19, 2013",
120,207566,William Carvalho,26,Portugal,Real Betis,€31.5M,€38K,Right,"Jul 13, 2018",
121,205498,Jorginho,26,Italy,Chelsea,€38M,€155K,Right,"Jul 16, 2018",
122,204970,F. Thauvin,25,France,Olympique de Marseille,€39M,€72K,Left,"Jul 1, 2017",
123,204963,Carvajal,26,Spain,Real Madrid,€31.5M,€185K,Right,"Jul 5, 2013",
124,202556,M. Depay,24,Netherlands,Olympique Lyonnais,€42M,€93K,Right,"Jan 20, 2017",
125,200104,H. Son,25,Korea Republic,Tottenham Hotspur,€37M,€125K,Right,"Aug 28, 2015",
126,199482,A. Lopes,27,Portugal,Olympique Lyonnais,€25M,€72K,Left,"Jul 1, 2011",
127,198176,S. de Vrij,26,Netherlands,Inter,€31.5M,€88K,Right,"Jul 1, 2018",
128,198009,M. Perin,25,Italy,Juventus,€29.5M,€105K,Right,"Jul 1, 2018",
129,193082,J. Cuadrado,30,Colombia,Juventus,€29.5M,€150K,Right,"Feb 2, 2015",
130,192629,Iago Aspas,30,Spain,RC Celta,€30M,€45K,Left,"Jul 1, 2015",
131,192563,B. Leno,26,Germany,Arsenal,€27M,€115K,Right,"Jul 1, 2018",
132,191202,N. Matić,29,Serbia,Manchester United,€24M,€165K,Left,"Jul 31, 2017",
133,190941,L. Hrádecký,28,Finland,Bayer 04 Leverkusen,€22M,€74K,Right,"Jul 1, 2018",
134,190584,Illarramendi,28,Spain,Real Sociedad,€31M,€51K,Right,"Aug 26, 2015",
135,188377,K. Walker,28,England,Manchester City,€24.5M,€165K,Right,"Jul 14, 2017",
136,186942,I. Gündoğan,27,Germany,Manchester City,€32M,€175K,Right,"Jul 1, 2016",
137,185020,José Callejón,31,Spain,Napoli,€27.5M,€105K,Right,"Jul 11, 2013",
138,183898,A. Di María,30,Argentina,Paris Saint-Germain,€29.5M,€125K,Left,"Aug 6, 2015",
139,181783,M. Mandžukić,32,Croatia,Juventus,€25M,€160K,Right,"Jul 1, 2015",
140,180403,Willian,29,Brazil,Chelsea,€30.5M,€175K,Right,"Aug 28, 2013",
141,178750,Sergio Asenjo,29,Spain,Villarreal CF,€24M,€42K,Right,"Jun 30, 2014",
142,178562,E. Banega,30,Argentina,Sevilla FC,€29M,€31K,Right,"Jul 3, 2017",
143,177413,A. Witsel,29,Belgium,Borussia Dortmund,€24M,€77K,Right,"Aug 17, 2018",
144,177388,D. Payet,31,France,Olympique de Marseille,€27.5M,€75K,Right,"Jan 30, 2017",
145,176769,Jonas,34,Brazil,SL Benfica,€16.5M,€25K,Right,"Sep 12, 2014",
146,172879,Sokratis,30,Greece,Arsenal,€23M,€140K,Right,"Jul 2, 2018",
147,167628,S. Ruffier,31,France,AS Saint-Étienne,€19M,€41K,Right,"Jul 11, 2011",
148,167397,Falcao,32,Colombia,AS Monaco,€25M,€115K,Right,"Jul 1, 2013",
149,163587,K. Schmeichel,31,Denmark,Leicester City,€19M,€78K,Right,"Jun 1, 2011",
150,157481,Raúl Albiol,32,Spain,Napoli,€18M,€88K,Right,"Jul 21, 2013",
151,143076,A. Gómez,30,Argentina,Atalanta,€30M,€53K,Right,"Sep 2, 2014",
152,137186,A. Barzagli,37,Italy,Juventus,€4.2M,€95K,Right,"Jan 1, 2011",
153,20775,Quaresma,34,Portugal,Beşiktaş JK,€15.5M,€80K,Right,"Jul 22, 2015",
154,9014,A. Robben,34,Netherlands,FC Bayern München,€15.5M,€110K,Left,"Aug 28, 2009",
155,231443,O. Dembélé,21,France,FC Barcelona,€40M,€155K,Left,"Aug 28, 2017",
156,230666,Gabriel Jesus,21,Brazil,Manchester City,€41M,€130K,Right,"Aug 3, 2016",
157,230481,Ronaldo Cabrais,26,Brazil,Grêmio,€28M,€51K,Right,"Jan 1, 2018",
158,230375,Josué Chiamulera,26,Brazil,Grêmio,€22.5M,€43K,Right,"Jan 1, 2018",
159,230294,Louri Beretta,26,Brazil,Atlético Mineiro,€28.5M,€60K,Right,"Jan 1, 2018",
160,225850,P. Kimpembe,22,France,Paris Saint-Germain,€30.5M,€82K,Left,"Jul 1, 2015",
161,220971,N. Keïta,23,Guinea,Liverpool,€34M,€120K,Right,"Jul 1, 2018",
162,219683,C. Tolisso,23,France,FC Bayern München,€34M,€85K,Right,"Jul 1, 2017",
163,213565,T. Lemar,22,France,Atlético Madrid,€35.5M,€64K,Left,"Jul 1, 2018",
164,213345,K. Coman,22,France,FC Bayern München,€34M,€85K,Right,"Aug 30, 2015",
165,213331,J. Tah,22,Germany,Bayer 04 Leverkusen,€29.5M,€67K,Right,"Jul 16, 2015",
166,212523,Anderson Talisca,24,Brazil,Guangzhou Evergrande Taobao FC,€36.5M,€18K,Left,,
167,212188,T. Werner,22,Germany,RB Leipzig,€34.5M,€70K,Right,"Jul 1, 2016",
168,210008,A. Rabiot,23,France,Paris Saint-Germain,€33M,€91K,Left,"Jul 1, 2012",
169,209658,L. Goretzka,23,Germany,FC Bayern München,€34M,€85K,Right,"Jul 1, 2018",
170,208808,Q. Promes,26,Netherlands,Sevilla FC,€30.5M,€28K,Right,"Aug 31, 2018",
171,208670,H. Ziyech,25,Morocco,Ajax,€32.5M,€28K,Left,"Aug 30, 2016",
172,208618,Lucas Vázquez,27,Spain,Real Madrid,€27M,€205K,Right,"Jul 2, 2015",
173,208418,Y. Carrasco,24,Belgium,Dalian YiFang FC,€33M,€20K,Right,"Feb 26, 2018",
174,208093,Gerard Moreno,26,Spain,Villarreal CF,€32M,€53K,Left,"Jul 2, 2018",
175,207863,Felipe,29,Brazil,FC Porto,€20M,€22K,Right,"Jul 1, 2016",
176,207410,M. Kovačić,24,Croatia,Chelsea,€35M,€165K,Right,,
177,206585,Kepa,23,Spain,Chelsea,€28.5M,€84K,Right,"Aug 8, 2018",
178,206545,Manu Trigueros,26,Spain,Villarreal CF,€30M,€49K,Right,"Jul 1, 2011",
179,206113,S. Gnabry,22,Germany,FC Bayern München,€34.5M,€85K,Right,"Jul 1, 2017",
180,204935,J. Pickford,24,England,Everton,€25M,€78K,Left,"Jun 15, 2017",
181,204639,S. Savić,27,Montenegro,Atlético Madrid,€26M,€67K,Right,"Jul 20, 2015",
182,203574,J. Stones,24,England,Manchester City,€28.5M,€125K,Right,"Aug 9, 2016",
183,202651,Suso,24,Spain,Milan,€33M,€115K,Left,"Jan 17, 2015",
184,202166,J. Draxler,24,Germany,Paris Saint-Germain,€32.5M,€91K,Right,"Jan 3, 2017",
185,201995,Felipe Anderson,25,Brazil,West Ham United,€31.5M,€110K,Right,"Jul 15, 2018",
186,200949,Lucas Moura,25,Brazil,Tottenham Hotspur,€31M,€115K,Right,"Jan 31, 2018",
187,200888,Danilo Pereira,26,Portugal,FC Porto,€27M,€21K,Right,"Jul 2, 2015",
188,200724,Nacho Fernández,28,Spain,Real Madrid,€24.5M,€180K,Right,"Aug 1, 2010",
189,200316,T. Horn,25,Germany,1. FC Köln,€24M,€25K,Left,"Jul 1, 2011",
190,199914,Allan,27,Brazil,Napoli,€26.5M,€87K,Right,"Jul 22, 2015",
191,199845,F. Acerbi,30,Italy,Lazio,€19M,€64K,Left,"Jul 11, 2018",
192,199564,Sergi Roberto,26,Spain,FC Barcelona,€26.5M,€170K,Right,"Jul 1, 2013",
193,198329,Rodrigo,27,Spain,Valencia CF,€30.5M,€57K,Left,"Dec 3, 2014",
194,197965,Pizzi,28,Portugal,SL Benfica,€25.5M,€22K,Right,"Jul 30, 2013",
195,195365,K. Kampl,27,Slovenia,RB Leipzig,€26.5M,€74K,Right,"Aug 31, 2017",
196,194404,Neto,28,Brazil,Valencia CF,€21M,€41K,Right,"Jul 7, 2017",
197,193698,O. Baumann,28,Germany,TSG 1899 Hoffenheim,€21M,€42K,Right,"Jul 1, 2014",
198,193474,I. Gueye,28,Senegal,Everton,€21M,€125K,Right,"Aug 3, 2016",
199,192883,H. Mkhitaryan,29,Armenia,Arsenal,€25.5M,€145K,Right,"Jan 22, 2018",
200,192638,Marcos Alonso,27,Spain,Chelsea,€24M,€130K,Left,"Aug 31, 2016",
201,192593,D. Subašić,33,Croatia,AS Monaco,€13M,€70K,Right,"Jan 24, 2012",
202,190547,K. Glik,30,Poland,AS Monaco,€19M,€86K,Right,"Jul 6, 2016",
203,189712,K. Strootman,28,Netherlands,Olympique de Marseille,€21M,€66K,Left,"Aug 28, 2018",
204,189068,B. Dost,29,Netherlands,Sporting CP,€26M,€26K,Right,"Aug 28, 2016",
205,188152,Oscar,26,Brazil,Shanghai SIPG FC,€30.5M,€29K,Right,"Jan 1, 2017",
206,186627,M. Balotelli,27,Italy,OGC Nice,€27.5M,€55K,Right,"Aug 31, 2016",
207,185221,Luiz Gustavo,30,Brazil,Olympique de Marseille,€19M,€63K,Left,"Jul 4, 2017",
208,184942,Giuliano,28,Brazil,Al Nassr,€26M,€64K,Right,"Aug 20, 2018",
209,179944,David Luiz,31,Brazil,Chelsea,€17.5M,€130K,Right,"Aug 31, 2016",
210,179783,R. Fährmann,29,Germany,FC Schalke 04,€20M,€38K,Right,"Jul 1, 2011",
211,178088,Juan Mata,30,Spain,Manchester United,€24.5M,€160K,Left,"Jan 25, 2014",
212,178086,Adán,31,Spain,Atlético Madrid,€15.5M,€55K,Left,"Jul 10, 2018",
213,178005,Rui Patrício,30,Portugal,Wolverhampton Wanderers,€16.5M,€74K,Left,"Jun 18, 2018",
214,177683,Y. Sommer,29,Switzerland,Borussia Mönchengladbach,€20M,€35K,Right,"Jul 1, 2014",
215,177610,Javi Martínez,29,Spain,FC Bayern München,€20M,€94K,Right,"Aug 29, 2012",
216,177457,L. Bender,29,Germany,Bayer 04 Leverkusen,€20M,€82K,Right,"Aug 18, 2009",
217,176266,Lucas Leiva,31,Brazil,Lazio,€17.5M,€64K,Right,"Jul 18, 2017",
218,163705,S. Mandanda,33,France,Olympique de Marseille,€13M,€51K,Right,"Jul 11, 2017",
219,162895,Cesc Fàbregas,31,Spain,Chelsea,€22M,€140K,Right,"Jul 1, 2014",
220,162240,M. Dembélé,30,Belgium,Tottenham Hotspur,€24M,€120K,Left,"Aug 1, 2012",
221,156616,F. Ribéry,35,France,FC Bayern München,€11.5M,€72K,Right,"Jul 1, 2007",
222,104389,R. Jarstein,33,Norway,Hertha BSC,€13M,€33K,Right,"Jan 1, 2014",
223,53302,D. De Rossi,34,Italy,Roma,€8M,€80K,Right,"Jul 1, 2002",
224,24630,Pepe Reina,35,Spain,Milan,€6M,€56K,Right,"Jul 2, 2018",
225,236583,J. Pavlenka,26,Czech Republic,SV Werder Bremen,€19.5M,€30K,Right,"Jul 1, 2017",
226,235243,M. de Ligt,18,Netherlands,Ajax,€27M,€11K,Right,"Oct 24, 2016",
227,231866,Rodri,22,Spain,Atlético Madrid,€29M,€59K,Right,"Jul 1, 2018",
228,230658,Arthur,21,Brazil,FC Barcelona,€32.5M,€125K,Right,"Jul 9, 2018",
229,230621,G. Donnarumma,19,Italy,Milan,€29M,€23K,Right,"Jul 1, 2015",
230,230258,Rosberto Dourado,30,Brazil,Atlético Mineiro,€16.5M,€46K,Right,"Jan 1, 2018",
231,230225,Juiano Mestres,34,Brazil,Cruzeiro,€6.5M,€39K,Right,"Jan 1, 2018",
232,230168,Raphaelito Anjos,30,Brazil,Grêmio,€14M,€32K,Right,"Jan 1, 2018",
233,227055,Gelson Martins,23,Portugal,Atlético Madrid,€29.5M,€59K,Right,"Jul 25, 2018",
234,224411,Gonçalo Guedes,21,Portugal,Valencia CF,€29M,€36K,Right,"Aug 29, 2018",
235,223959,L. Torreira,22,Uruguay,Arsenal,€25M,€98K,Right,"Jul 12, 2018",
236,222737,Malcom,21,Brazil,FC Barcelona,€31.5M,€140K,Left,"Jul 24, 2018",
237,221087,Pau López,23,Spain,Real Betis,€21.5M,€21K,Left,"Jul 4, 2018",
238,220814,L. Hernández,22,France,Atlético Madrid,€25.5M,€53K,Left,"Jul 1, 2015",
239,220440,C. Lenglet,23,France,FC Barcelona,€26M,€135K,Left,"Jul 12, 2018",
240,216354,A. Kramarić,27,Croatia,TSG 1899 Hoffenheim,€26M,€54K,Right,"Jan 16, 2015",
241,216267,A. Robertson,24,Scotland,Liverpool,€24.5M,€98K,Left,"Jul 21, 2017",
242,216194,Dani García,28,Spain,Athletic Club de Bilbao,€20M,€33K,Right,"Jul 2, 2018",
243,212404,F. Bernardeschi,24,Italy,Juventus,€29.5M,€110K,Left,"Jul 24, 2017",
244,212194,J. Brandt,22,Germany,Bayer 04 Leverkusen,€30.5M,€68K,Right,"Jan 1, 2014",
245,211320,D. Rugani,23,Italy,Juventus,€24.5M,€95K,Right,"Feb 4, 2015",
246,210617,Samu Castillejo,23,Spain,Milan,€29M,€94K,Left,"Aug 17, 2018",
247,210514,João Cancelo,24,Portugal,Juventus,€25.5M,€95K,Right,"Jul 1, 2018",
248,210413,A. Romagnoli,23,Italy,Milan,€26.5M,€84K,Left,"Aug 11, 2015",
249,209989,T. Partey,25,Ghana,Atlético Madrid,€25.5M,€59K,Right,"Jul 1, 2015",
250,209297,Fred,25,Brazil,Manchester United,€26.5M,€140K,Left,"Jun 21, 2018",
251,208830,J. Vardy,31,England,Leicester City,€20M,€96K,Right,"May 1, 2012",
252,208596,A. Belotti,24,Italy,Torino,€30M,€58K,Right,"Aug 17, 2015",
253,208448,E. Forsberg,26,Sweden,RB Leipzig,€26M,€67K,Right,"Jan 7, 2015",
254,207494,J. Lingard,25,England,Manchester United,€26.5M,€140K,Right,"Jul 1, 2010",
255,207471,F. Vázquez,29,Argentina,Sevilla FC,€21.5M,€27K,Left,"Jul 16, 2016",
256,205678,E. Višća,28,Bosnia Herzegovina,Medipol Başakşehir FK,€22.5M,€40K,Right,"Aug 16, 2011",
257,205452,A. Rüdiger,25,Germany,Chelsea,€22.5M,€110K,Right,"Jul 9, 2017",
258,203551,A. Florenzi,27,Italy,Roma,€20.5M,€73K,Right,"Jul 1, 2010",
259,203263,H. Maguire,25,England,Leicester City,€23.5M,€77K,Right,"Jun 15, 2017",
260,202371,T. Meunier,26,Belgium,Paris Saint-Germain,€21M,€87K,Right,"Jul 3, 2016",
261,201956,S. Sané,27,Senegal,FC Schalke 04,€18.5M,€41K,Right,"Jul 1, 2018",
262,201455,G. Kondogbia,25,Central African Rep.,Valencia CF,€27.5M,€46K,Left,"Jul 2, 2018",
263,201400,Rafinha,25,Brazil,FC Barcelona,€29.5M,€165K,Left,"Jul 1, 2013",
264,201305,Gabriel Paulista,27,Brazil,Valencia CF,€21M,€44K,Right,"Aug 18, 2017",
265,201153,Morata,25,Spain,Chelsea,€28.5M,€135K,Right,"Jul 21, 2017",
266,199987,J. Cillessen,29,Netherlands,FC Barcelona,€18M,€135K,Right,"Aug 25, 2016",
267,199451,W. Ben Yedder,27,France,Sevilla FC,€23.5M,€28K,Right,"Jul 30, 2016",
268,198951,C. Bakambu,27,DR Congo,Beijing Sinobo Guoan FC,€26M,€33K,Right,"Jan 17, 2018",
269,198950,Pablo Sarabia,26,Spain,Sevilla FC,€26M,€26K,Left,"Jul 1, 2016",
270,198717,W. Zaha,25,Ivory Coast,Crystal Palace,€28.5M,€78K,Right,"Feb 2, 2015",
271,198706,Luis Alberto,25,Spain,Lazio,€28.5M,€67K,Right,"Aug 31, 2016",
272,198164,Jonathan Viera,28,Spain,Beijing Sinobo Guoan FC,€22.5M,€31K,Right,"Feb 19, 2018",
273,198141,Bartra,27,Spain,Real Betis,€21M,€32K,Right,"Jan 30, 2018",
274,197655,S. Coates,27,Uruguay,Sporting CP,€21M,€19K,Right,"Jan 31, 2017",
275,195093,Willian José,26,Brazil,Real Sociedad,€26.5M,€44K,Right,"Jul 31, 2016",
276,193525,Mário Fernandes,27,Russia,PFC CSKA Moscow,€18.5M,€1K,Right,"Jul 1, 2012",
277,193469,Víctor Ruiz,29,Spain,Villarreal CF,€19.5M,€43K,Left,"Jul 1, 2015",
